t_s,H_m,P_bar
3.8785437212767264,65.0,6.3765
3.878722505443836,65.0,6.3765
3.8789012896109454,65.0,6.3765
3.8790800737780553,65.0,6.3765
3.879258857945165,65.0,6.3765
3.8794376421122743,65.0,6.3765
3.879616426279384,65.0,6.3765
3.8797952104464937,65.0,6.3765
3.8799739946136036,65.0,6.3765
3.880152778780713,65.0,6.3765
3.8803315629478226,65.0,6.3765
3.8805103471149325,65.0,6.3765
3.880689131282042,65.0,6.3765
3.8808679154491514,65.0,6.3765
3.8810466996162614,65.0,6.3765
3.881225483783371,65.0,6.3765
3.8814042679504808,65.0,6.3765
3.8815830521175902,65.0,6.3765
3.8817618362846997,65.0,6.3765
3.8819406204518097,65.0,6.3765
3.882119404618919,65.0,6.3765
3.8822981887860286,65.0,6.3765
3.8824769729531385,65.0,6.3765
3.882655757120248,65.0,6.3765
3.882834541287358,65.0,6.3765
3.8830133254544674,65.0,6.3765
3.883192109621577,65.0,6.3765
3.883370893788687,65.0,6.3765
3.8835496779557963,65.0,6.3765
3.8837284621229062,65.0,6.3765
3.8839072462900157,65.0,6.3765
3.884086030457125,65.0,6.3765
3.884264814624235,65.0,6.3765
3.8844435987913446,65.0,6.3765
3.884622382958454,65.0,6.3765
3.884801167125564,65.0,6.3765
3.8849799512926735,65.0,6.3765
3.8851587354597834,65.0,6.3765
3.885337519626893,65.0,6.3765
3.8855163037940024,65.0,6.3765
3.8856950879611123,65.0,6.3765
3.8858738721282218,65.0,6.3765
3.8860526562953313,65.0,6.3765
3.886231440462441,65.0,6.3765
3.8864102246295507,65.0,6.3765
3.8865890087966606,65.0,6.3765
3.88676779296377,65.0,6.3765
3.8869465771308795,65.0,6.3765
3.8871253612979895,65.0,6.3765
3.887304145465099,65.0,6.3765
3.8874829296322084,65.0,6.3765
3.8876617137993184,65.0,6.3765
3.887840497966428,65.0,6.3765
3.8880192821335378,65.0,6.3765
3.8881980663006472,65.0,6.3765
3.8883768504677567,65.0,6.3765
3.8885556346348666,65.0,6.3765
3.888734418801976,65.0,6.3765
3.888913202969086,65.0,6.3765
3.8890919871361955,65.0,6.3765
3.889270771303305,65.0,6.3765
3.889449555470415,65.0,6.3765
3.8896283396375244,65.0,6.3765
3.889807123804634,65.0,6.3765
3.889985907971744,65.0,6.3765
3.8901646921388533,65.0,6.3765
3.890343476305963,65.0,6.3765
3.8905222604730727,65.0,6.3765
3.890701044640182,65.0,6.3765
3.890879828807292,65.0,6.3765
3.8910586129744016,65.0,6.3765
3.891237397141511,65.0,6.3765
3.891416181308621,65.0,6.3765
3.8915949654757305,65.0,6.3765
3.8917737496428404,65.0,6.3765
3.89195253380995,65.0,6.3765
3.8921313179770594,65.0,6.3765
3.8923101021441693,65.0,6.3765
3.8924888863112788,65.0,6.3765
3.8926676704783887,65.0,6.3765
3.892846454645498,65.0,6.3765
3.8930252388126076,65.0,6.3765
3.8932040229797176,65.0,6.3765
3.893382807146827,65.0,6.3765
3.8935615913139365,65.0,6.3765
3.8937403754810465,65.0,6.3765
3.893919159648156,65.0,6.3765
3.894097943815266,65.0,6.3765
3.8942767279823753,65.0,6.3765
3.894455512149485,65.0,6.3765
3.8946342963165947,65.0,6.3765
3.8948130804837042,65.0,6.3765
3.8949918646508137,65.0,6.3765
3.8951706488179236,65.0,6.3765
3.895349432985033,65.0,6.3765
3.895528217152143,65.0,6.3765
3.8957070013192525,65.0,6.3765
3.895885785486362,65.0,6.3765
3.896064569653472,65.0,6.3765
3.8962433538205814,65.0,6.3765
3.896422137987691,65.0,6.3765
3.896600922154801,65.0,6.3765
3.8967797063219103,65.0,6.3765
3.89695849048902,65.0,6.3765
3.8971372746561297,65.0,6.3765
3.897316058823239,65.0,6.3765
3.897494842990349,65.0,6.3765
3.8976736271574586,65.0,6.3765
3.8978524113245685,65.0,6.3765
3.898031195491678,65.0,6.3765
3.8982099796587875,65.0,6.3765
3.8983887638258974,65.0,6.3765
3.898567547993007,65.0,6.3765
